Idx,SampleID,Class,Diet,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42
82,D02-H004,1,High-fat diet,0.022999644,0.005481498,0.010276491,0.111467046,0.164543909,0.012904365,0.024778716,0.22502095,0.005465959,0.013921268,0.020226738,0.004356577,0.002999631,0.004902164,0.013053881,0.001163024,0.001388854,0.001028597,0.001620142,0.002328241,0.001631961,0.015378818,2.83E-04,0.002743066,0.001190222,0.041314416,3.26E-04,1.19E-04,0.002190839,3.34E-04,0.003609365,3.87E-04,9.29E-04,1.87E-04,1.18E-04,0.001218701,2.25E-04,2.52E-05,6.27E-05,3.07E-04,7.30E-05,2.66E-04
83,D02-H005,1,High-fat diet,0.148052383,0.006362302,0.008702606,0.232050637,0.19898136,0.016833011,0.019733431,0.240117263,0.021901694,0.026559448,0.020226738,0.013547987,0.004244001,0.005052235,0.032110957,0.001076288,7.02E-04,0.001401036,0.001455079,0.002986622,0.005400911,0.004465761,5.80E-04,0.010045229,3.53E-04,0.030815805,3.81E-04,1.19E-04,0.001469226,3.09E-04,0.003945021,1.29E-04,9.29E-04,1.81E-04,1.55E-04,3.93E-04,3.06E-04,3.59E-05,5.77E-05,4.39E-04,6.12E-05,2.63E-04
84,D03-N001,0,Normal,0.004812306,0.002718108,0.003421985,0.072482911,0.061924699,0.006066388,0.005233088,0.258267367,0.004484466,0.007595655,0.002718108,0.001860559,0.002333808,0.005849086,0.033460977,8.95E-04,0.004149438,6.45E-04,0.00558609,0.012562234,0.001321049,0.023997677,7.50E-04,0.022911857,0.003467594,0.05767171,2.33E-04,4.98E-04,5.94E-04,3.43E-04,0.00287027,1.77E-05,1.31E-04,1.25E-04,8.75E-05,0.00154216,2.24E-04,3.94E-05,4.98E-05,1.90E-04,2.94E-05,2.10E-04
85,D03-N002,0,Normal,0.005560414,0.00354637,0.002946158,0.071078314,0.136162847,0.007934011,0.003550335,0.369644319,5.76E-04,0.007595655,0.00354637,0.001220325,0.002501544,0.009668784,0.090809382,0.002887965,0.008568711,0.002052444,0.00558609,0.015176011,0.00229478,0.039044317,5.27E-04,0.028180769,4.42E-04,0.099675613,3.31E-04,8.16E-04,6.04E-04,3.43E-04,0.001218673,9.29E-05,2.05E-04,1.21E-04,5.56E-05,0.001405533,2.57E-04,2.48E-05,4.98E-05,1.96E-04,2.76E-05,2.21E-04
86,D03-N003,0,Normal,0.041411562,0.004922164,0.007672537,0.104927791,0.02441428,0.018063826,0.011603165,0.273064951,0.009678431,0.015158087,0.002689125,0.003358562,0.007828063,0.013136328,0.034265377,0.002018731,0.010425908,0.002356772,0.012007048,0.015868722,0.011405652,0.072939876,9.04E-04,0.039585794,0.006901617,0.187704066,2.82E-04,4.98E-04,5.60E-04,3.43E-04,2.95E-04,8.31E-05,1.65E-04,1.23E-04,9.55E-05,0.00117837,2.14E-04,2.48E-05,4.36E-05,2.93E-04,6.85E-05,2.65E-04
87,D03-N004,0,Normal,0.002497686,0.001639582,0.007565561,0.033088036,0.113266878,0.006600425,0.002211922,0.129069334,0.001374254,0.003020479,0.002689125,0.001860559,0.002093122,0.007053174,0.016157696,9.87E-04,0.006785631,0.001581106,4.11E-04,0.014611936,0.001845333,0.030751351,5.64E-04,0.031252472,0.003059598,0.113323977,2.82E-04,4.98E-04,1.51E-04,3.43E-04,5.25E-04,5.48E-05,1.65E-04,1.23E-04,9.42E-05,0.00117837,1.87E-04,2.42E-05,5.60E-05,2.26E-04,4.12E-05,2.14E-04
88,D03-H001,1,High-fat diet,0.030442063,0.013533618,0.028966932,0.238486468,0.46599547,0.033500167,0.030206043,0.547952859,0.018840757,0.031847482,0.013533618,0.006262567,0.007224475,0.005221918,0.141337899,0.001761583,9.84E-04,0.001635102,0.006565564,0.001702693,5.54E-04,0.02161802,0.001576046,0.003844242,0.002264029,0.038226186,2.12E-04,NA,0.003359375,3.93E-04,0.011791075,3.28E-05,9.41E-04,1.61E-04,6.55E-04,0.007195392,3.41E-04,4.87E-05,4.55E-05,5.47E-04,4.57E-05,2.55E-04
89,D03-H002,1,High-fat diet,0.17475448,0.020559932,0.041026352,0.423145655,0.533385546,0.014242111,0.037532318,0.769900511,0.033736998,0.031847482,0.013533618,0.00911179,0.008216408,0.009037016,0.269124523,7.11E-04,1.80E-04,4.69E-04,0.006565564,0.001749104,0.005184533,0.046488954,0.001637149,0.005545308,0.00405129,0.047478238,2.46E-04,NA,0.002163971,4.80E-04,0.008401644,4.66E-05,0.00104365,1.24E-04,5.06E-04,0.003486885,4.07E-04,3.18E-05,4.55E-05,9.43E-04,4.44E-05,3.27E-04
90,D03-H003,1,High-fat diet,0.013921035,0.009124571,0.015078139,0.192769828,0.410888814,0.033292037,0.035121229,0.405344379,0.017079305,0.023232097,0.013533618,0.002246096,0.004752895,0.013623054,0.045272279,0.001074453,0.002680113,0.002260012,0.007788654,0.003488058,0.001211139,0.022692978,0.001599166,0.010780301,0.002281368,0.114468065,3.42E-04,NA,0.003047322,2.84E-04,0.004516534,2.87E-04,3.29E-04,1.67E-04,3.09E-04,0.003341893,3.45E-04,3.45E-05,4.04E-05,6.65E-04,1.05E-04,2.82E-04
91,D03-H004,1,High-fat diet,0.204679694,0.01870977,0.034350806,0.371465398,0.421712511,0.022588438,0.037402974,0.485760774,0.023362999,0.049968146,0.013533618,0.01083648,0.008334642,0.008203614,0.053018125,0.001060537,5.31E-04,0.001428914,0.007299091,0.001749104,0.006072429,0.062415929,0.001557193,0.008024448,0.002075923,0.087904297,1.84E-04,NA,8.99E-04,3.86E-04,0.00504769,1.31E-04,7.71E-04,1.61E-04,1.60E-04,9.45E-04,2.15E-04,3.45E-05,4.89E-05,7.94E-04,7.87E-05,2.54E-04
92,D03-H005,1,High-fat diet,0.015594228,0.005441392,0.022781527,0.136787487,0.182850213,0.017481657,0.015372052,0.364978101,0.007422115,0.013592347,0.013533618,0.017874991,0.003813082,0.009102093,0.026122752,0.001030904,0.002168801,0.00128591,0.005151299,0.001124666,0.002437576,0.019396396,0.001163333,0.007641333,5.62E-04,0.080043484,2.46E-04,NA,0.001377177,3.86E-04,0.003502721,2.44E-05,7.71E-04,1.96E-04,2.67E-04,3.18E-04,2.57E-04,2.30E-05,4.73E-05,4.13E-04,6.70E-05,2.76E-04
93,D06-N001,0,Normal,0.107280174,0.002914743,0.011770324,0.178844524,0.038575238,0.004931358,0.015820904,0.346234418,0.016079166,0.001693898,0.002914743,0.005666121,0.00867834,0.008205413,0.046846381,0.00127572,7.82E-04,3.40E-04,0.005141385,0.001733754,0.009603468,0.055584507,9.52E-04,0.017425197,5.94E-04,0.049356734,1.01E-04,0.001607621,8.80E-04,4.29E-04,0.002324329,4.28E-05,2.32E-04,1.33E-04,1.81E-04,2.61E-04,2.33E-04,4.50E-05,7.76E-06,4.92E-04,2.92E-05,2.32E-04
94,D06-N002,0,Normal,0.006578949,0.003211295,0.001723123,0.04463148,0.238847401,0.004613742,0.002720515,0.172399142,0.009980985,0.00687013,0.002914743,0.003825311,0.001208418,0.005913402,0.058310319,0.001765987,0.003381524,7.76E-04,4.72E-04,0.005630635,0.001643078,0.01530164,8.82E-04,0.014556316,0.001754152,0.066632707,1.43E-04,3.18E-04,5.83E-04,3.70E-04,0.001687976,1.33E-05,1.09E-04,1.09E-04,9.60E-05,7.60E-04,2.21E-04,2.44E-05,5.59E-05,1.37E-04,2.51E-05,1.64E-04
95,D06-N003,0,Normal,0.008869565,0.006892284,0.008684523,0.116251746,0.234922203,0.0214426,0.018948879,0.541933243,0.0047877,0.00687013,0.002914743,0.003825311,0.005716158,0.015224144,0.138582789,0.005149678,0.003645436,0.002920929,0.005141385,0.01446382,0.001839727,0.019071597,6.53E-04,0.012424326,0.009482806,0.056104091,5.86E-05,4.05E-04,5.37E-04,6.24E-04,0.001824647,3.00E-05,1.53E-04,2.35E-04,1.48E-04,6.76E-04,3.04E-04,1.01E-04,1.32E-04,0.001359331,4.07E-05,6.12E-04
96,D06-N004,0,Normal,0.019401612,0.006422691,0.007770855,0.125725351,0.056223823,0.018824408,0.029639176,0.2183383,0.012129129,0.015996522,0.002914743,0.001984501,0.007226921,0.013527205,0.028272649,0.002150578,0.003990245,0.002022119,0.01265051,0.001910825,0.003461146,0.01995288,0.001396865,0.024912461,0.001462752,0.196952401,1.01E-04,7.77E-04,5.40E-04,2.58E-04,0.002479956,3.58E-05,2.74E-04,1.65E-04,8.74E-05,1.18E-04,1.85E-04,1.91E-05,3.38E-05,4.80E-04,5.83E-06,2.27E-04
97,D06-N005,0,Normal,0.003833531,0.002051491,0.007487206,0.058715144,0.513985382,0.007238969,0.006106848,0.182064021,0.008843165,0.005920429,0.002914743,0.003825311,0.006366898,0.008722323,0.015245335,0.001611081,0.004443297,0.001092504,7.82E-04,0.006080773,0.003251537,0.027279772,0.001594125,0.018248751,0.001024169,0.12142721,1.01E-04,7.77E-04,1.99E-04,3.97E-04,0.002170335,6.07E-04,1.92E-04,1.65E-04,1.25E-04,0.001040487,2.27E-04,2.35E-05,4.98E-05,2.61E-04,4.22E-05,2.21E-04
98,D06-H001,1,High-fat diet,0.030660352,0.00959191,0.022455836,0.101024915,0.368034335,0.023037198,0.032738003,0.636710223,0.001475795,0.001528237,0.00959191,0.003821365,0.001650388,0.006157617,0.14815387,0.005825875,0.001767563,0.002232705,8.27E-04,0.003865595,0.001563416,0.024168293,2.52E-04,0.004911066,1.71E-04,0.081186383,9.54E-05,8.53E-04,8.97E-04,3.09E-04,0.002293942,1.37E-04,5.59E-04,1.23E-04,4.81E-05,0.009354427,2.21E-04,3.54E-04,1.15E-04,6.68E-04,3.64E-04,2.70E-04
99,D06-H002,1,High-fat diet,0.033657044,0.010693915,0.018626594,0.176165445,0.375715453,0.029457869,0.051744114,0.357986687,0.012753469,0.01935336,0.019200214,0.003758922,0.002901805,0.007958313,0.033814047,0.002664423,0.002126636,0.002472877,0.005013142,0.001039638,0.002037987,0.021909638,2.99E-04,0.004363383,0.002075827,0.066008583,3.24E-04,8.53E-04,0.001557118,3.09E-04,0.004925008,4.28E-05,7.77E-04,9.79E-05,3.65E-04,0.001266428,3.25E-04,1.79E-04,5.28E-05,0.001170073,7.04E-05,2.75E-04
100,D06-H003,1,High-fat diet,0.118991226,0.012501922,0.054429846,0.365033602,0.565178904,0.031899736,0.051777068,0.755603774,0.019538004,0.045976997,0.019200214,0.030348708,0.010668328,0.01074402,0.065016515,0.002680088,0.001651417,0.002787379,0.00654687,0.009048538,0.006999996,0.105786143,2.72E-04,0.005735469,0.001551023,0.102523344,3.24E-04,8.53E-04,0.001305244,3.09E-04,0.004249809,5.45E-05,8.09E-05,1.55E-04,2.60E-04,0.004808705,2.18E-04,2.22E-04,2.06E-04,0.001815235,7.91E-05,2.71E-04
101,D06-H004,1,High-fat diet,0.068332517,0.011862207,0.125128621,0.801103542,1.288964359,0.048163123,0.237378971,1.739484981,0.021027817,0.012601746,0.019200214,0.032362324,0.017612754,0.00766051,0.079680697,0.007233617,0.002313463,0.005314121,0.006802795,0.017391678,0.008895765,0.106934433,1.54E-04,0.007372983,0.001296053,0.326207005,5.00E-05,5.46E-04,5.09E-04,3.09E-04,0.002785798,4.62E-05,5.50E-04,6.23E-05,1.35E-04,0.002915998,5.53E-04,1.14E-04,1.53E-04,0.001285047,2.00E-04,0.002301619
102,D06-H005,1,High-fat diet,0.044245875,0.01466108,0.028302139,0.153535348,0.46060242,0.029861147,0.0767472,0.679323008,0.011506678,0.017912097,0.019200214,0.004254175,0.004227647,0.007938394,0.071738358,0.003210524,7.18E-04,0.003163477,0.007700925,0.003977121,0.002174031,0.027364906,1.99E-04,0.002313899,5.93E-04,0.065590673,3.24E-04,8.53E-04,4.19E-04,3.09E-04,0.0013545,9.71E-05,6.30E-04,9.79E-05,8.43E-05,0.003319574,2.04E-04,2.44E-05,4.97E-05,9.13E-04,1.03E-04,3.11E-04
103,D10-N001,0,Normal,0.02739028,0.019250042,0.05082886,0.304529695,0.52415052,0.029735823,0.103555495,0.771560541,0.014425871,8.90E-04,NA,0.013120401,0.0060568,0.016619375,0.144873666,0.014907412,0.002441634,0.003637502,0.001775398,0.019371593,0.002852281,0.03692174,3.14E-04,0.01957382,9.58E-04,0.167512788,5.72E-04,2.74E-04,0.001801602,4.75E-04,0.008613604,2.02E-04,0.005133161,2.58E-04,1.23E-04,0.012827816,4.55E-04,3.06E-05,4.05E-05,0.001379515,1.21E-04,3.14E-04
104,D10-N002,0,Normal,0.067500524,0.015194914,0.042669409,0.170947582,0.180918927,0.045744927,0.069169678,0.860225653,0.015321699,0.001612683,NA,0.009612968,0.004058201,0.016947431,0.242724499,0.018379544,0.00364079,0.004367359,8.47E-04,0.018356823,0.004890496,0.05288033,4.66E-04,0.016662098,0.002554749,0.153759063,3.44E-04,0.001106864,0.002250223,4.07E-04,0.00169471,5.47E-05,0.001281974,2.22E-04,2.18E-04,0.0036482,2.01E-04,3.22E-05,4.05E-05,0.002511947,1.96E-04,3.21E-04
